epoch,acc,loss
0,0.08441651239991188,2.879968523979187
1,0.08333572000265121,2.879612183570862
2,0.08538565039634705,2.87911319732666
3,0.0829878605902195,2.8785640001296997
4,0.08310810700058938,2.877997374534607
5,0.08430056124925614,2.877425265312195
6,0.08454678133130074,2.876850891113281
7,0.0839698813855648,2.8762757539749146
8,0.08472858443856239,2.875700902938843
9,0.08423900529742241,2.8751257419586183
0,0.09153973907232285,2.8842267036437987
1,0.09115609228610992,2.883870029449463
2,0.09262626022100448,2.8833702564239503
3,0.09220109954476356,2.8828200817108156
4,0.09088553562760353,2.882253122329712
5,0.09221827685832977,2.8816799402236937
6,0.09205222204327583,2.881104516983032
7,0.09271644577383995,2.8805286645889283
8,0.09143094420433044,2.8799529552459715
9,0.0906092531979084,2.8793768882751465
0,0.08138353846020756,2.8616510590677158
1,0.08200279646432461,2.821868667522456
2,0.08159681579485546,2.782635207343221
3,0.08213164060589073,2.743947215137342
4,0.08205446098129601,2.705794116013898
5,0.08223920727043471,2.668174087276963
6,0.08262663774028599,2.6310778355543074
7,0.08299010368816294,2.594497044355721
8,0.08340946264127035,2.5584247449646895
9,0.0839121531863521,2.5228512686705065
10,0.08479356857747627,2.4877747814087803
11,0.084957761228436,2.4531866271772276
12,0.08556335398513262,2.4190790943796077
13,0.08651624918276866,2.385445693699147
14,0.08713348153948634,2.3522773308691773
15,0.08783540250820036,2.319572423934255
16,0.08822578214919628,2.287322830084671
17,0.08884685727673781,2.2555213435962425
18,0.08910559280463494,2.224161959214148
19,0.0900269195381522,2.19323617534082
20,0.08978795395329264,2.1627425362673547
21,0.09023558281725468,2.1326733565828895
22,0.09083268451394567,2.1030220469037832
23,0.09111655994315264,2.0737828882928615
24,0.09142521709304889,2.044948065602526
25,0.09180011946156759,2.0165161343452502
26,0.09242098160022835,1.9884800048136
27,0.09260571800076467,1.9608334851443896
28,0.09334486590627476,1.9335712191886896
29,0.09386828364842659,1.9066859578711446
30,0.09466472767916553,1.8801763788174526
31,0.0953307473246319,1.8540357991331535
32,0.09615395473099292,1.8282585351743215
33,0.09725252403272823,1.8028394958047287
34,0.0983035133162183,1.7777719862954795
35,0.0993692692997649,1.7530548037206215
36,0.1008596278331696,1.7286816162787868
37,0.10188822625065122,1.7046471949003696
38,0.10251888756307295,1.6809467905564928
39,0.10255391707676148,1.6575741398775388
40,0.10264659211241918,1.6345281046019697
41,0.10233312032149054,1.6118028380944514
42,0.10185828595405566,1.5893934369939322
43,0.10131928867951491,1.5672954247639779
44,0.10131470527721555,1.545503064012962
45,0.1012278049172377,1.5240152059409173
46,0.10155101175183204,1.5028264170270615
47,0.10180065718967417,1.4819321717808638
48,0.10192432610375637,1.4613282309060696
49,0.10264163436885601,1.4410092676241781
50,0.10201013532252164,1.4209743082267714
51,0.10263252901923386,1.4012180596606016
52,0.10258546365482242,1.381736521809505
53,0.1031165999297651,1.3625256453153383
54,0.10392500121896557,1.3435804762967212
55,0.10416584126944198,1.324900098704201
56,0.10451264673707868,1.3064796175938835
57,0.10729706571773599,1.2883152705673835
58,0.1087347118182972,1.2704032737697173
59,0.10888999171937089,1.2527389833069666
60,0.109195221268743,1.2353216076297706
0,0.832319739393862,50.44689345667888
0,0.1384870174353483,2.82530497887422
1,0.14000908709489382,2.714511953226248
2,0.14302763670701546,2.6080678134355195
